Q9UV50	44357
Q6BVA0	47856
Q6BIG3	35492
Q6BU95	59628
Q6BNF3	119392
Q6BLX3	74611
P00043	12100
B5RUH6	200612
Q6BM25	53783
Q6BWV8	230982
Q6BGY8	155935
Q6BS08	97889
Q6BQN6	37841
Q6BUQ2	145342
Q6BHA8	29991
Q6BLM0	69083
Q9HGI6	77267
Q6BHY0	91668
Q6BLJ9	83384
Q6BZG0	106327
Q6BQK7	94371
Q6BM04	84410
Q6BRJ9	63265
Q6BP39	102670
Q6BQW4	159854
O42724	15888
B5RU14	132813
Q6BVH5	95088
Q6BX63	9031
Q6BSU0	43436
B5RU78	163284
Q6BMP8	23473
Q6BU58	19108
Q6BRP5	18646
Q6BP00	17597
Q6BI39	23630
Q6BUP2	57071
B5RTA5	5723
Q6BW03	221822
Q6BHT5	53733
B5RV33	61057
Q6BLZ5	54896
Q6BRJ2	42325
Q6BMB1	43298
Q6BXT7	53063
Q6BMQ6	305018
Q6BJG7	136848
Q6BLF0	16746
Q6BYE0	37522
Q6BVQ7	32169
Q6BIC0	29964
Q6BTI5	47597
Q6BWA9	45407
Q6BYC7	17677
Q6BTY6	43987
Q6BWL3	21656
Q6BR31	4593
Q6BHF4	66289
Q6BXI5	23726
Q6BNS2	142534
Q6BSG4	89372
Q6BR17	7247
B5RTX6	6648
Q6BXY6	65975
Q6BYU5	64597
Q6BWK9	32380
W0TYS2	4580
Q6BW28	90761
Q6BGY7	10905
Q6BQC4	63235
Q6BWH9	52306
Q6BRN2	9730
Q6BZK3	38825
Q6BSU8	28080
Q6BWR8	43754
Q6BWQ3	42365
Q6BYS6	47537
B5RUY0	40471
Q6BSZ2	25678
Q6BY43	20174
Q6BYX2	37765
B5RV01	187828
B5RU73	156244
Q6BM60	16230
Q6BLV3	31460
Q6BN22	65087
Q6BHF6	44065
Q6BTR0	53955
B5RU87	18351
Q6BPZ4	14991
Q6BY38	40706
Q6BRN0	58381
Q6BN81	32216
Q6BK95	12908
Q6BXA2	57464
Q6BM88	136104
Q6BIT5	34327
B5RUX9	37599
Q6BHR9	35767
B5RV52	149510
Q6BVM7	33640
W0TYS1	10095
Q6BRC3	48186
Q6BP14	28187
Q6BZ01	49362
B5RTW0	22461
Q6BV07	47639
Q6BV03	16956
B5RU67	60510
Q6BIZ0	93761
Q6BPT9	10155
Q6BYG7	52926
Q6BJT6	14594
Q6BGN2	9022
Q6BGY4	26065
Q6BT87	95578
Q6BQY8	57053
Q6BY65	129992
Q6BN90	37536
Q6BYU8	26788
Q6BYM6	49942
Q6BHT9	33523
Q6BTY9	14610
Q6BP02	84293
Q6BTP8	40713
Q6BIM8	119132
Q6BMF5	41865
Q6BKI3	120359
Q6BS67	66864
Q6BZ11	91121
Q6BXB7	13600
B5RUT1	54124
B5RUW6	20523
B5RV32	15447
Q6BQG4	22018
Q6BH75	80321
Q6BXU1	10925
Q6BWE0	85727
Q6BRW2	71987
Q6BTB9	36380
Q6BW75	58802
Q6BQK4	10042
Q6BUV2	60054
Q6BMI8	47514
Q6BIF2	52953
Q6BS05	32414
B5RSR2	74047
Q6BJK1	137161
Q6BUZ8	28960
Q6BW73	54931
W0TYR1	49893
Q6BWI7	50976
Q6BUC9	35893
Q6BT54	12551
Q6BUW9	36119
Q6BX26	7722
Q6BIZ3	56399
Q6BMM7	79143
Q6BKB7	53089
Q6BV54	60963
Q6BL50	67627
B5RV25	123384
Q6BGT2	55687
Q6BSM8	51538
Q6BLB8	20021
Q6BXY7	28306
Q6BNN1	67393
Q6BZ60	69376
Q6BV22	48090
Q6BYM7	9792
Q6BNT5	19603
Q6BRJ0	46572
B5RSZ6	70175
Q6BQC8	52485
Q6BYQ4	58235
Q6BTB2	19426
Q6BKR8	33019
B5RU74	53559
Q6BVH8	37839
Q6BPM4	44877
W0TYQ8	23569
